week,sales0,sales1,price0,price1
108,9870.998,17395,2.766748,1.790884
109,11729,16012.01,2.69881,1.819792
110,11546,248666.1,2.699087,1.693512
111,11690,10039,2.699008,2.200863
112,10731,47262.01,2.699167,1.495774
113,46377.99,7185.003,2.634538,2.207048
114,33306.01,10900,2.66246,2.158869
115,74936.02,15248.01,2.073092,1.974608
116,16742,10921,2.569277,1.971416
117,13950,10281,2.678889,1.985804
118,15569,6735,2.656865,2.215119
119,36790.98,7471,2.492341,2.172083
120,27427.99,26249.01,2.165635,1.975
121,28060.01,19694.99,2.257992,1.974699
122,52776,8028.999,2.014899,2.028976
123,25690,17895,2.073413,2.468571
124,10640,12606.99,2.763135,2.457262
125,15363,6804,2.687818,2.487421
126,57731.99,6824.001,2.484762,2.483423
127,50396.01,11984,1.848667,1.983765
128,15514,160489,2.742667,1.976029
129,75408.03,12993,2.086392,2.030775
130,33110.99,12554,1.969059,2.449118
131,52488.98,27423,1.980392,1.991324
132,25497.01,15584,2.116667,2.015301
133,108812,14805,2.593452,2.426994
134,50451.98,28697.01,3.326392,1.983441
135,28588,15768,3.620357,2.036399
136,11204,7604.002,2.95302,2.606706
137,14080,39482,2.792824,1.960706
138,46877,5324.999,2.212353,2.62
139,13021,7172.002,2.955502,2.619036
140,12702,10937,2.943372,2.604324
141,10075,39520.98,2.954471,1.962176
142,18669,5926.002,2.894236,2.625941
143,96022.03,4621.998,2.57898,2.684118
144,33764.01,5906.002,2.535159,2.681667
145,74333.02,5525.001,2.268588,2.674147
146,28155.01,6307,2.655882,2.567912
147,23605,25836,2.458392,2.023853
148,31325.99,6801.002,2.619059,2.2395
149,11738,8593.002,2.954314,2.678588
150,8563.004,51648.02,2.949294,2.279265
151,10186,6954.002,2.952118,2.670088
152,55015.02,5807.998,2.795098,2.620353
153,11049,77493.98,2.883882,1.987706
154,23815.99,43843.02,2.512078,1.964794
155,31151,24071,2.580543,1.689709
156,38873,17431,2.325271,1.717238
157,16277.01,39400,2.625601,1.968023
158,15098,8426.999,2.832804,2.628882
159,20214.01,6547,2.686977,2.51125
160,10078,64609.98,2.839748,2.183023
161,22063,39577,2.661705,2.189564
162,28364.01,12219,2.535388,2.270581
163,11963,25985,2.875882,1.789882
164,16671,22618.01,2.789186,1.816628
165,30674.01,42640.01,2.457442,1.915
166,12448,19930,2.877946,1.972762
167,102581,13108,2.186202,2.027733
168,27734,6536.999,2.568295,2.431483
169,14965.99,9568.002,2.72531,2.310291
170,36322.02,33666.01,2.451744,1.986512
171,22093.01,7938.001,2.477751,2.308464
172,32948.01,7729.001,2.550698,2.309942
173,26928,40954.01,2.381706,2.172558
174,13826,9631.997,2.664651,2.304302
175,13190,9866,2.661822,2.307093
176,35390.02,36535.98,2.318217,2.079535
177,48438.01,18028.01,2.359225,2.095814
178,14227,111180,2.588953,1.986454
179,20011.99,12944,2.463488,2.292616
180,16414,8967.996,2.472519,2.303546
181,11727,164030,2.621412,1.140471
182,27677.01,9589.003,2.450465,2.281134
183,18032.99,11925,2.422597,2.206948
184,16522.99,6055.002,2.538016,2.304673
185,37161.99,8146.001,2.440465,2.263488
186,28253,8028.999,2.377481,2.100843
187,40993.98,6380.998,2.369729,2.101483
188,11548,7383.002,2.610155,2.10782
189,18336,8034.001,2.294651,2.1075
190,26667,13517,2.009729,1.954971
191,23210,8666.999,2.021279,1.98218
192,14758,8580.996,2.426705,2.107151
193,11605,10232,2.52155,2.107151
194,11655,35943.01,2.532647,1.880765
195,129584.9,9422.997,2.29551,2.105559
196,16426.99,11521,2.592859,2.077733
197,16050,11190,2.555862,2.076715
198,52002,20120,2.051221,1.869564
199,55856.01,11703,2.261521,1.844738
200,13572,12565,2.525765,1.866076
201,52063.98,12722,2.050756,1.869419
202,13135,34190.01,2.526899,1.921366
203,14295,22291.99,2.5225,1.948634
204,33453.02,12684,2.399719,2.07625
205,24284.01,85048.98,2.39553,1.375765
206,17282,12056,2.501598,2.077824
207,15867,14489,2.494667,2.079559
208,16330.99,24493.99,2.471588,1.935559
209,65707.98,8086,2.410676,1.985647
210,46496.01,7961.003,2.078529,2.077353
212,38726.98,9876.996,2.243588,2.073941
213,27974,25368.99,2.248,1.933765
214,47593,8282.003,2.077618,2.11903
215,35554.02,8211.003,2.238323,2.224735
216,25585.99,61446.01,2.28372,1.98375
217,16880,10815,2.450595,2.159554
218,19308.99,35285,2.518735,2.0485
220,54581.99,7491.998,2.135676,2.297
221,17554,9108.996,2.4995,2.293824
222,17798,7642.001,2.493647,2.333412
223,101202,7156.001,2.393618,2.339088
224,66475.99,7360,2.374235,2.339471
225,26690.99,9362.997,2.381853,2.339971
226,17550,54138.02,2.46501,1.785676
227,19247,11357,2.521235,2.296353
228,222855,9060.003,1.26401,2.185059
229,18145,7655,2.367292,2.321706
230,17864,8001,2.528393,2.31497
231,14730.01,105631,2.581012,1.989524
232,17864,8001,2.528393,2.31497
233,14730.01,105631,2.581012,1.989524
234,16277.01,50577,2.405198,1.790149
235,15595.01,8563.004,2.570546,2.269831
236,65770.98,7676.998,2.046905,2.253314
237,16692,32895.98,2.560149,1.969643
238,33081,9506,2.445893,2.045952
239,13652.01,18487.01,2.572778,1.847946
240,13532,14789,2.582818,1.963631
241,13997,149112,2.574425,1.044494
242,14754,7692.998,2.575843,2.15993
243,65406.01,6753.001,2.045685,2.235446
244,15921,29380.01,2.524653,1.976012
245,15038,7238,2.532946,2.286161
246,52595.01,18080,2.047351,1.486379
247,13435.99,124520,2.551101,1.032679
248,29935,5746.001,2.367193,2.108125
249,15111,6630.001,2.56006,2.299137
250,59545.01,5244.998,2.050089,2.302946
251,39862.99,6551.997,2.368363,2.266607
252,14113,6066.001,2.551667,2.260357
253,36718.99,5094.998,2.32381,2.245327
254,22507,18854.99,2.323869,2.150119
255,26541.99,10567,2.342411,2.158125
256,21176,21291.99,2.387956,1.987768
257,60232.03,5782.001,2.271816,2.257153
258,22301.01,6518,2.502024,2.260873
259,71581.01,5564.002,2.040447,2.26247
260,25761,4784.998,2.431488,2.29125
261,12860,5443.999,2.565943,2.271518
262,15841,102854,2.5412,1.166637
263,66259.97,6105.001,2.026726,2.088433
264,14965,5809.001,2.472381,2.289762
265,64988.98,5215.002,1.939316,2.294375
266,15841,102854,2.5412,1.166637
267,66259.97,6105.001,2.026726,2.088433
268,14965,5809.001,2.472381,2.289762
269,64988.98,5215.002,1.939316,2.294375
270,15691.99,135181,2.434345,1.075268
271,18402.99,10514,2.445833,2.127024
272,73598.99,6365.001,1.979643,2.26376
273,16758.99,14136.01,2.505208,2.15124
274,55335.99,7499.998,2.406042,2.19125
275,84371.03,6401.001,1.686816,2.293363
276,29059,5825,2.100347,2.299286
277,20509.01,50579.02,2.486488,1.998016
278,47689.01,6232.998,2.340714,2.297771
279,15729,7572.999,2.521155,2.296596
280,20314,112018,2.461796,1.946399
281,20269.01,10317,2.506329,2.284345
282,47689.01,6232.998,2.340714,2.297771
283,15729,7572.999,2.521155,2.296596
284,60278.98,5925.002,2.526684,2.292165
285,14346,6324.998,2.640239,2.287683
286,15209,83566.97,2.653089,1.499906
287,20440,8247,2.639472,2.214531
288,21091.99,6997.997,2.566554,2.292125
289,14530,132207,2.623801,1.959531
290,79569.99,8777.999,1.989881,2.196375
291,44297,9744.997,2.537579,2.202656
292,77053,8120.002,2.003595,1.574823
293,15171,22253.99,2.616228,1.973625
294,54798.02,22087,2.548507,1.763198
295,14908,6273,2.660551,2.233031
296,14022,4528,2.681286,2.382531
297,78357,5834,2.366536,2.171219
298,16508,4938.001,2.661682,2.376552
299,59457,3358.998,1.973568,2.407625
300,65226.98,3604.999,2.012946,2.4125
301,17057.99,5068,2.643577,2.412063
302,14055,5080.999,2.674457,2.408937
303,12171,125909,2.679291,1.972969
304,15528,5746.001,2.659005,2.344385
305,20325,7958.999,2.627385,2.401875
306,17844.01,9520.997,2.563196,2.327854
307,15799,9692.001,2.517509,2.228031
308,22983,8766.003,2.546356,2.17426
309,16672,32120.99,2.58928,1.961281
310,12873,5732.001,2.69047,2.390875
311,14789,4876.001,2.694174,2.409688
312,54130.02,5454.002,2.287363,2.413594
313,15106,52155.02,2.678676,1.769219
314,16276,6502.001,2.693458,2.175864
315,15011.01,5517.998,2.6994,2.218281
316,15514,8388,2.702483,2.006783
317,65881.98,24785.01,2.502515,.9945253
318,14325.99,5504.002,2.66372,2.277141
319,76411.02,4404.999,2.012319,2.305
320,47967.01,4042.998,1.913502,2.31375
321,120797,4470,1.773318,2.31375
322,19525,5825,2.624862,2.305187
323,78660,33485.99,2.341553,1.500906
324,22557.99,10418,2.57356,2.054385
325,18067.01,6615.001,2.686825,2.310469
326,27735.01,6887,2.57662,2.28925
327,39644.99,8306.001,2.18473,2.177448
328,38085.99,106502,2.357761,1.076813
329,31167.99,6195,2.569072,2.283437
330,20127,7328,2.724207,2.300469
331,18465,7449.002,2.696071,2.294688
332,13145,169891,2.694798,1.032625
333,70522.01,5791.002,2.010329,2.085427
334,16335,6862.002,2.675349,2.303219
335,17118,8279.002,2.682775,2.271031
336,18124.99,9041.997,2.697979,2.293208
337,78636.98,7243,2.018563,2.266562
338,16212.99,179981.1,2.641616,1.010687
339,44898.01,6577.001,2.572156,2.126354
340,12900,5874.001,2.688492,2.288956
341,15956,6530.002,2.708042,2.301969
342,84182,5533.998,2.05465,2.306969
343,15918.01,19889.01,2.678571,2.216438
344,60316.01,5549.001,2.504885,2.326167
345,15462.99,7111.997,2.704048,2.388125
346,15892.99,6151.998,2.727833,2.417187
347,78434.98,4735.999,2.054404,2.413219
348,14726,5101.002,2.662575,2.410063
349,17832,6021,2.697969,2.406821
350,17020,6626,2.711458,2.411
351,57299,4325.999,2.508169,2.412375
352,37889.02,4857,2.436927,2.41375
353,17933.01,4421.999,2.734894,2.4125
354,11928,4578.998,2.808161,2.41175
355,90686,4214,2.048375,2.413646
356,30743.01,4168,2.412146,2.412
357,16431.01,5852.998,2.795521,2.409896
358,17844.01,9520.997,2.563196,2.327854
359,15799,9692.001,2.517509,2.228031
360,22983,8766.003,2.546356,2.17426
361,16672,32120.99,2.58928,1.961281
362,18079,7413.001,2.749558,2.385906
363,16233,6056.002,2.8206,2.379135
364,100031,6137.002,2.059244,2.33654
365,56345.98,13513,2.254486,1.938375
366,20789.01,5445.001,2.440099,2.375427
367,19738,96028.99,2.464569,1.500163
368,89957.97,4831.001,2.043557,2.27811
369,70115.02,4148,2.042106,2.394837
372,22476.01,5592,2.752156,2.356057
373,20989,6100.997,2.762199,2.35241
374,106151,3931.001,2.043163,2.412892
375,16708.01,121695,2.772084,1.491325
376,19085,10952,2.792952,2.288052
377,128476,5519.998,2.061667,2.414217
378,28422.01,8198.999,2.573741,2.436908
379,16767,7008.998,2.888293,2.450462
380,90422,7575,2.398173,2.319518
381,21022.99,51226.01,2.794472,2.370321
382,35759.98,6037.998,2.720964,2.614859
383,19403.01,8251.996,2.853575,2.568193
384,18984.99,8887.004,2.849076,2.422851
385,115968,3911,2.477169,2.62504
386,100580,12886,2.478996,2.501084
387,15851,147261.9,2.852014,2.477229
388,15851,147261.9,2.852014,2.477229
389,117293,5972.002,2.700402,2.595964
390,18157,6712.998,2.858325,2.639277
391,19744,6490.001,2.869765,2.68008
392,18175,5237,2.857653,2.654578
393,24436.99,4567.998,2.848815,2.699116
394,24436.99,4567.998,2.848815,2.699116
395,117228,4654,2.423687,2.716265
396,14549,60303.01,2.8516,2.460482
397,13851,8002,2.876924,2.649759
398,15313.99,6988,2.876984,2.660522
399,103450,5510,2.476185,2.610502
